Player,Nation,Born,Min,MP,Gls,Ast,npxG,xAG,KP,PrgP,PrgC,Tkl,Int,Succ,Age,Squad,Comp,Pos,position_group,npxG_per90,xAG_per90,KP_per90,PrgP_per90,PrgC_per90,Tkl_per90,Int_per90,Succ_per90,npxG_per90_pct,npxG_per90_pct_global,npxG_per90_pct_pos,xAG_per90_pct,xAG_per90_pct_global,xAG_per90_pct_pos,KP_per90_pct,KP_per90_pct_global,KP_per90_pct_pos,PrgP_per90_pct,PrgP_per90_pct_global,PrgP_per90_pct_pos,PrgC_per90_pct,PrgC_per90_pct_global,PrgC_per90_pct_pos,Tkl_per90_pct,Tkl_per90_pct_global,Tkl_per90_pct_pos,Int_per90_pct,Int_per90_pct_global,Int_per90_pct_pos,Succ_per90_pct,Succ_per90_pct_global,Succ_per90_pct_pos,player_id,player_name,minutes_played,npxG_per90_scaled,xAG_per90_scaled,KP_per90_scaled,PrgP_per90_scaled,PrgC_per90_scaled,Tkl_per90_scaled,Int_per90_scaled,Succ_per90_scaled,cluster_id,cluster_name,gmm_probabilities_json,pca_x,pca_y
Filippo Terracciano,it ITA,2003.0,539,13,0,0,0.2,0.1,2,14,5,9,6,0,21.0,Milan,it Serie A,"DF,MF",Defender,0.033,0.017,0.334,2.338,0.835,1.503,1.002,0.0,22.4,22.4,41.4,14.0,14.0,28.8,19.9,19.9,42.6,23.6,23.6,18.7,27.7,27.7,42.0,45.1,45.1,37.5,67.3,67.3,49.9,1.9,1.9,4.3,filippo_terracciano_it_ita_2003_0,Filippo Terracciano,539,-0.7145729838974524,-0.9908160474035722,-0.9300733660881496,-0.7496190818993859,-0.672273161060091,-0.2068901646712619,0.4088620026467134,-1.148737594577926,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.371, ""Attacking Fullback / Playmaker"": 0.2969, ""Ball-Playing Defender"": 0.332}",-1.988,-0.744
Finn Jeltsch,de GER,2006.0,780,12,0,0,0.1,0.1,2,31,8,18,13,2,18.0,Stuttgart,de Bundesliga,DF,Defender,0.012,0.012,0.231,3.577,0.923,2.077,1.5,0.231,7.0,7.0,14.3,10.5,10.5,22.7,12.5,12.5,27.9,55.2,55.2,57.4,31.4,31.4,46.1,72.9,72.9,70.1,91.5,91.5,86.1,21.0,21.0,38.8,finn_jeltsch_de_ger_2006_0,Finn Jeltsch,780,-0.8672953581153539,-1.0512746214634412,-1.0895940267527795,-0.0251786652147385,-0.6045408510703868,0.5411738484703812,1.436946795991264,-0.7903515909307807,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.3823, ""Attacking Fullback / Playmaker"": 0.2799, ""Ball-Playing Defender"": 0.3378}",-2.4,0.499
Finn Ole Becker,de GER,2000.0,670,13,0,1,0.1,0.3,8,45,3,11,10,6,24.0,Hoffenheim,de Bundesliga,MF,Midfielder,0.013,0.04,1.075,6.045,0.403,1.478,1.343,0.806,7.7,7.7,3.7,29.1,29.1,16.4,64.0,64.0,53.2,90.6,90.6,82.3,10.4,10.4,5.5,43.7,43.7,27.0,85.7,85.7,84.2,65.8,65.8,58.0,finn_ole_becker_de_ger_2000_0,Finn Ole Becker,670,-0.8600228641049775,-0.7127066067281752,0.2175461441302062,1.4178551914258666,-1.0047772282822751,-0.2394713499126225,1.112831710539267,0.1017347817839756,1,Box-to-Box / Pressing Engine,"{""Box-to-Box / Pressing Engine"": 0.532, ""Deep-Lying Playmaker"": 0.468}",-1.146,1.173
Finn Porath,de GER,1997.0,1970,31,2,3,1.8,2.0,22,58,42,45,21,16,27.0,Holstein Kiel,de Bundesliga,"DF,MF",Defender,0.082,0.091,1.005,2.65,1.919,2.056,0.959,0.731,52.1,52.1,85.9,55.6,55.6,76.9,60.7,60.7,81.7,31.4,31.4,27.7,65.6,65.6,76.9,72.0,72.0,69.5,64.4,64.4,44.9,60.7,60.7,81.6,finn_porath_de_ger_1997_0,Finn Porath,1970,-0.3582207773890159,-0.0960291513175122,0.1091340446493897,-0.567193407964269,0.1620657483585375,0.5138056528676382,0.3200916289241919,-0.0146243103092534,0,Ball-Playing Defender,"{""Stopper / Defensive Destroyer"": 0.1117, ""Attacking Fullback / Playmaker"": 0.4548, ""Ball-Playing Defender"": 0.4335}",-0.277,0.258
Fisayo Dele-Bashiru,ng NGA,2001.0,947,20,3,1,1.1,0.8,10,26,23,10,4,14,23.0,Lazio,it Serie A,"MF,FW",Midfielder,0.105,0.076,0.95,2.471,2.186,0.95,0.38,1.331,59.6,59.6,59.4,48.5,48.5,40.2,56.8,56.8,45.3,27.2,27.2,9.3,71.8,71.8,73.1,17.6,17.6,8.3,21.8,21.8,13.6,83.6,83.6,82.3,fisayo_dele_bashiru_ng_nga_2001_0,Fisayo Dele-Bashiru,947,-0.1909534151503621,-0.277404873497119,0.0239531093430341,-0.6718542914078136,0.3675717343500262,-0.9275859822101618,-0.8752117753860384,0.9162484264365792,0,Deep-Lying Playmaker,"{""Box-to-Box / Pressing Engine"": 0.4917, ""Deep-Lying Playmaker"": 0.5083}",0.766,-0.948
Flavius Daniliuc,at AUT,2001.0,1004,18,0,0,0.1,0.1,2,38,8,26,7,4,23.0,Hellas Verona,it Serie A,DF,Defender,0.009,0.009,0.179,3.406,0.717,2.331,0.627,0.359,4.7,4.7,9.8,7.8,7.8,17.1,8.9,8.9,20.0,51.4,51.4,52.9,22.8,22.8,36.0,82.1,82.1,81.4,40.8,40.8,15.2,32.2,32.2,55.4,flavius_daniliuc_at_aut_2001_0,Flavius Daniliuc,1004,-0.8891128401464826,-1.0875497658993627,-1.170128729224243,-0.1251619672753314,-0.763096031273558,0.8721986905226065,-0.3652982333055083,-0.5917654070916697,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.3752, ""Attacking Fullback / Playmaker"": 0.2816, ""Ball-Playing Defender"": 0.3432}",-1.898,-0.077
Florent Hanin,dz ALG,1990.0,2672,33,1,2,0.9,1.9,25,99,48,69,47,11,34.0,Angers,fr Ligue 1,DF,Defender,0.03,0.064,0.842,3.335,1.617,2.324,1.583,0.371,20.1,20.1,38.6,42.1,42.1,66.5,51.4,51.4,76.3,49.3,49.3,50.3,57.6,57.6,68.0,82.0,82.0,81.3,93.6,93.6,90.0,33.1,33.1,56.3,florent_hanin_dz_alg_1990_0,Florent Hanin,2672,-0.7363904659285812,-0.4225054512408043,-0.1433112727130825,-0.166675502049028,-0.0703792245606744,0.8630759586550253,1.608294261548689,-0.573147952356753,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.2175, ""Attacking Fullback / Playmaker"": 0.3653, ""Ball-Playing Defender"": 0.4172}",-1.458,1.056
Florian Ayé,fr FRA,1997.0,575,26,2,0,1.9,0.1,3,7,5,2,7,2,27.0,Auxerre,fr Ligue 1,FW,Forward,0.297,0.016,0.47,1.096,0.783,0.313,1.096,0.313,87.9,87.9,59.8,13.4,13.4,1.9,28.2,28.2,5.1,2.9,2.9,10.6,25.5,25.5,10.4,1.8,1.8,7.1,73.4,73.4,98.9,28.7,28.7,9.3,florian_ay__fr_fra_1997_0,Florian Ayé,575,1.2053654348418787,-1.002907762215546,-0.7194441442397066,-1.4758135916026405,-0.7122967987812798,-1.7577545821600338,0.6029181684587372,-0.6631323169088502,0,Clinical Finisher / Poacher,"{""Clinical Finisher / Poacher"": 0.413, ""Dynamic Winger / Dribbler"": 0.587}",-0.946,-2.529
Florian Grillitsch,at AUT,1995.0,1224,21,0,0,0.3,0.8999999999999999,13,82,13,26,12,16,28.0,"Valladolid, Hoffenheim","es La Liga, de Bundesliga",MF,Midfielder,0.022,0.066,0.956,6.029,0.956,1.912,0.882,1.176,14.3,14.3,7.8,43.3,43.3,33.8,57.4,57.4,45.6,90.5,90.5,81.9,33.2,33.2,27.4,66.3,66.3,52.6,58.9,58.9,57.6,80.1,80.1,77.6,florian_grillitsch_at_aut_1995_0,Florian Grillitsch,1224,-0.7945704180115913,-0.3983220216168568,0.0332455750128184,1.4085000286599632,-0.5791412348242478,0.3261380258774001,0.1611307271420025,0.6757729694439056,1,Box-to-Box / Pressing Engine,"{""Box-to-Box / Pressing Engine"": 0.5177, ""Deep-Lying Playmaker"": 0.4823}",-0.427,1.245
Florian Lejeune,fr FRA,1991.0,3325,37,2,3,3.6,1.9,14,143,21,46,41,4,33.0,Rayo Vallecano,es La Liga,DF,Defender,0.097,0.051,0.379,3.871,0.568,1.245,1.11,0.108,57.0,57.0,90.3,34.1,34.1,58.6,22.9,22.9,47.5,61.6,61.6,64.6,16.0,16.0,27.2,30.6,30.6,21.5,74.1,74.1,60.6,9.1,9.1,19.6,florian_lejeune_fr_fra_1991_0,Florian Lejeune,3325,-0.2491333672333721,-0.5796977437964637,-0.8603798735647677,0.1467224506087371,-0.8777791470515797,-0.5431279963621046,0.6318201506009535,-0.9811805019636765,1,Stopper / Defensive Destroyer,"{""Stopper / Defensive Destroyer"": 0.3515, ""Attacking Fullback / Playmaker"": 0.3113, ""Ball-Playing Defender"": 0.3371}",-1.607,-0.459
Florian Sotoca,fr FRA,1990.0,1794,31,1,1,4.6,1.5,18,105,44,22,14,16,33.0,Lens,fr Ligue 1,"FW,MF",Forward,0.231,0.075,0.903,5.268,2.207,1.104,0.702,0.803,81.2,81.2,39.7,48.0,48.0,20.4,54.5,54.5,32.9,84.6,84.6,96.0,72.3,72.3,51.4,24.0,24.0,57.0,45.9,45.9,94.0,65.6,65.6,42.8,florian_sotoca_fr_fra_1990_0,Florian Sotoca,1794,0.7253808301570461,-0.2894965883090928,-0.0488378717369424,0.9635450996066808,0.3837351265066601,-0.7268858811233794,-0.210466186115064,0.0970804181002465,0,Clinical Finisher / Poacher,"{""Clinical Finisher / Poacher"": 0.3605, ""Dynamic Winger / Dribbler"": 0.6395}",0.534,-0.206
Florian Tardieu,fr FRA,1992.0,1252,24,2,4,0.6,1.3,19,139,11,18,15,3,32.0,Saint-Étienne,fr Ligue 1,MF,Midfielder,0.043,0.093,1.366,9.992,0.791,1.294,1.078,0.216,30.0,30.0,22.5,56.6,56.6,49.8,76.9,76.9,69.7,99.8,99.8,99.3,25.8,25.8,19.1,33.3,33.3,17.7,72.1,72.1,70.1,19.5,19.5,9.6,florian_tardieu_fr_fra_1992_0,Florian Tardieu,1252,-0.6418480437936899,-0.0718457216935646,0.668230729114743,3.725656906239671,-0.7061393160549431,-0.4792688732890376,0.5657584771330305,-0.8136234093494265,1,Box-to-Box / Pressing Engine,"{""Box-to-Box / Pressing Engine"": 0.4984, ""Deep-Lying Playmaker"": 0.5016}",-0.462,2.147
